4
100 150 200 250 300 350 400 450
200 200 200 200 200 400 550 600
150 100 600 400 350 450 500 600
500  50   0 450 200 300 600 650
100   0   0 500 550 600 200 550
200 -50   0 150 450 650 550 650
300  50 150 250 350 700 600 600
450 500 600 600 500 600 600 600
  5 150 100  30   0   0   0   0
 60 100  50  30  10  10  10  10
 10 150 200 450 500 600  10 -100
 40 250 450 500  10 700  10  10
 60 300 400 550 850 800 100 100
 10 325 360 560 575 500 200 300
450 250 200 300 400 300 400 350
400   0  50 100 150 200 250 300
-500 -600 -400 -100 -125 -150 -140 -125
-550 -450 -200 -250 -200 -225 -200 -150
-600 -200 -600 -250 -350 -500 -500 -500
-550 -500 -400 -300 -500 -150 -500 -500
-600 -450 -600 -200 -350 -500 -500 -500
-500 -400 -300 -250 -500 -150 -500 -500
-450 -300 -350 -500 -500 -150 -500 -500
-400 -350 -500 -500 -500 -150 -500 -500
  1   2   3   4   5   6 -100 -100
600 900 950 200 300   7 -150  -50
500 800  14 100 200   8 -200  -50
200 400  13  12  11   9 -300  -50
200 500  15  11  10   0 -100  -40
100 100 100 100 100 100  100  100
  1   2   3   4   5   6    7    8
  0   0   0   0 100  10   10    0
